Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
1503611,,MIS PRIMEROS AÑOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,VILLA DEL VALLE,Arequipa / Islay / Cocachacra,8.0,0.0,3.0,"-17.0926,-71.7549"
1503613,,LOS CARIÑOSITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA AREQUIPA S/N,Arequipa / Islay / Cocachacra,5.0,0.0,2.0,"-17.0925,-71.7572"
1621069,22305141.0,JOSE OLAYA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE LIBERTAD S/N,Arequipa / Islay / Cocachacra,2.0,1.0,1.0,"-17.0904,-71.7564"
1649672,24580245.0,40482 SAN MARTIN DE PORRES,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,Arequipa / Islay / Cocachacra,61.0,4.0,3.0,"-17.0911,-71.7618"
1679901,24631230.0,RONDA INFANTIL,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVIS SANTA CRUZ,Arequipa / Islay / Cocachacra,11.0,2.0,3.0,"-17.0874,-71.7525"
1503618,,MUNDO DE LOS NIÑOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,Arequipa / Islay / Cocachacra,3.0,0.0,3.0,"-17.0888,-71.7572"
1712504,22305638.0,ESTRELLA DE BELEN,Inicial - Jardín,Pública de gestión directa,Sector Educación,RAMON CASTILLA,Arequipa / Islay / Cocachacra,13.0,1.0,3.0,"-17.0894,-71.7531"
1759174,24762815.0,PASITOS DE ESPERANZA,Inicial - Jardín,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N MZ A LOTE 8,Arequipa / Islay / Cocachacra,3.0,1.0,2.0,"-17.0931,-71.7615"
3935564,,MANITOS CREATIVAS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PROGRESO S/N,Arequipa / Islay / Cocachacra,12.0,0.0,2.0,"-17.0840,-71.7568"
3989668,,GOTITAS DE ALEGRIA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA LIBERTAD S/N,Arequipa / Islay / Cocachacra,14.0,0.0,2.0,"-17.0838,-71.7560"
3992340,,RISITAS DE GIUKENLU,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE JOSE OLAYA MZ H LOTE 6,Arequipa / Islay / Cocachacra,14.0,0.0,2.0,"-17.0849,-71.7610"
3992341,,SONRISITAS DE AMOR,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE MIRADOR MZ I LOTE 5,Arequipa / Islay / Cocachacra,10.0,0.0,2.0,"-17.0898,-71.7604"
225342,24216756.0,EL ARENAL,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE INTERNACIONAL S/N,Arequipa / Islay / Dean Valdivia,49.0,3.0,3.0,"-17.1115,-71.8457"
310169,22305220.0,FRANCISCO LOPEZ DE ROMAÑA,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA PROLONGACION GUARDIOLA S/N,Arequipa / Islay / Dean Valdivia,252.0,25.0,11.0,"-17.1137,-71.8395"
313643,22283510.0,40484 VIRGEN DE FATIMA,Primaria,Pública de gestión directa,Sector Educación,CALLE FATIMA S/N,Arequipa / Islay / Dean Valdivia,251.0,16.0,12.0,"-17.1123,-71.8390"
313650,22283448.0,40485 RUBEN LINARES LINARES,Primaria,Pública de gestión directa,Sector Educación,CALLE INTERNACIONAL S/N,Arequipa / Islay / Dean Valdivia,154.0,9.0,7.0,"-17.1178,-71.8480"
313809,22283103.0,40503 JOSE OLAYA,Primaria,Pública de gestión directa,Sector Educación,CALLE AREQUIPA 112,Arequipa / Islay / Dean Valdivia,3.0,2.0,2.0,"-17.1176,-71.8438"
313817,22283022.0,40504 LUISA BEGAZO DE DEL CARPIO,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,Arequipa / Islay / Dean Valdivia,72.0,6.0,6.0,"-17.1143,-71.8410"
523787,22306391.0,DIVINO SALVADOR,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA DEAN VALDIVIA S/N,Arequipa / Islay / Dean Valdivia,70.0,4.0,4.0,"-17.1112,-71.8472"
579771,22307045.0,CIRO ALEGRIA BAZAN,Secundaria,Pública de gestión directa,Sector Educación,CALLE JOSE OLAYA 330,Arequipa / Islay / Dean Valdivia,205.0,21.0,10.0,"-17.1132,-71.8404"
890871,22298135.0,NUESTRA SEÑORA DE LA MERCED,Inicial - Jardín,Pública de gestión directa,Sector Educación,ALTO ENSENADA,Arequipa / Islay / Dean Valdivia,55.0,3.0,3.0,"-17.1140,-71.8471"
891234,25270347.0,MIGUEL DE CERVANTES SAAVEDRA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE LIMA S/N,Arequipa / Islay / Dean Valdivia,3.0,1.0,3.0,"-17.1185,-71.8424"
1492750,22307533.0,ALTO BOQUERON,Inicial - Jardín,Pública de gestión directa,Sector Educación,ALTO BOQUERON,Arequipa / Islay / Dean Valdivia,29.0,2.0,3.0,"-17.1143,-71.8441"
1621051,22304801.0,LEONOR BERNEDO DE JUAREZ,Inicial - Cuna Jardín,Pública de gestión directa,Sector Educación,JIRON LIMA S/N MZ P LOTE 10,Arequipa / Islay / Dean Valdivia,58.0,4.0,4.0,"-17.1153,-71.8478"
55106,,PIMPOLLITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS VIRGEN DE FATIMA,Arequipa / Islay / Dean Valdivia,11.0,0.0,2.0,"-17.1129,-71.8390"
1679893,22305301.0,ESTRELLITAS,Inicial - Jardín,Pública de gestión directa,Sector Educación,PROGRESO DEL VALLE S/N,Arequipa / Islay / Dean Valdivia,19.0,2.0,3.0,"-17.1179,-71.8466"
55110,,MI MUNDO FELIZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE 2 DE MAYO SECTOR SAN JUAN S/N,Arequipa / Islay / Dean Valdivia,7.0,0.0,2.0,"-17.1118,-71.8408"
1697341,24630994.0,LA PLACE,Secundaria,Privada,Particular,JIRON 02 DE MAYO S/N,Arequipa / Islay / Dean Valdivia,159.0,8.0,7.0,"-17.1130,-71.8421"
3966008,,VIRGEN DE LAS MERCEDES,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,VIRGEN DE FATIMA,Arequipa / Islay / Dean Valdivia,11.0,0.0,3.0,"-17.1183,-71.8411"
1773266,24631311.0,SAINT MICHAEL THE ARCHANGEL,Primaria,Privada,Particular,AVENIDA INDEPENDENCIA S7N MZ G LOTE 01,Arequipa / Islay / Dean Valdivia,39.0,8.0,6.0,"-17.1137,-71.8477"
1773274,24631311.0,SAINT MICHAEL THE ARCHANGEL,Secundaria,Privada,Particular,AVENIDA INDEPENDENCIA S7N MZ G LOTE 01,Arequipa / Islay / Dean Valdivia,17.0,8.0,4.0,"-17.1115,-71.8483"
1776145,24630994.0,LA PLACE,Primaria,Privada,Particular,JIRON 02 DE MAYO S/N,Arequipa / Islay / Dean Valdivia,19.0,3.0,3.0,"-17.1147,-71.8389"
3996430,,MI PEQUEÑO JUAN PABLO,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE UNION COSTANERA S/N A DOS CUADRAS DE LA LOZA,Arequipa / Islay / Dean Valdivia,6.0,0.0,3.0,"-17.1155,-71.8482"
309740,22974718.0,40479 MIGUEL GRAU,Secundaria,Pública de gestión directa,Sector Educación,CALLE MIGUEL GRAU S/N,Arequipa / Islay / Islay,319.0,27.0,15.0,"-16.9929,-72.0560"
313593,22974718.0,40479 MIGUEL GRAU,Primaria,Pública de gestión directa,Sector Educación,CALLE MIGUEL GRAU S/N,Arequipa / Islay / Islay,362.0,18.0,14.0,"-16.9994,-72.0581"
503060,22299875.0,MICAELA BASTIDAS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE MARIANO MELGAR S/N,Arequipa / Islay / Islay,62.0,4.0,4.0,"-16.9957,-72.0647"
1302744,22300199.0,MI PEQUEÑO PARAISO,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA AREQUIPA S/N,Arequipa / Islay / Islay,73.0,6.0,6.0,"-16.9988,-72.0608"
1518562,24630811.0,ESPIRITU SANTO,Primaria,Privada,Particular,MZ I LOTE 8,Arequipa / Islay / Islay,113.0,6.0,6.0,"-16.9993,-72.0608"
55101,,LOS JASMINES,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS VILLA EL PESCADOR,Arequipa / Islay / Islay,8.0,0.0,2.0,"-16.9934,-72.0562"
1634583,24630811.0,ESPIRITU SANTO,Inicial - Jardín,Privada,Particular,MZ I LOTE 8,Arequipa / Islay / Islay,48.0,3.0,3.0,"-16.9997,-72.0605"
